,open,high,low,close,volume,trade_count,vwap
2021-06-30,680.0,692.81,678.14,679.7,18899374,424103,685.011178
2021-07-01,683.8,687.99,672.8,677.92,18608916,400840,679.129703
2021-07-02,678.98,700.0,673.26,678.9,27114027,557863,683.739232
2021-07-06,681.75,684.0,651.4002,659.58,23280113,608898,661.655815
2021-07-07,664.41,665.7,638.32,644.65,18779588,434177,647.737467
2021-07-08,628.0,654.43,620.46,652.81,22754315,474249,640.591604
2021-07-09,653.28,658.91,644.69,656.95,18124930,365107,653.642953
2021-07-12,662.36,687.24,662.161,685.7,25921423,541463,680.189536
2021-07-13,686.49,693.28,666.2958,668.54,20944825,436541,677.45453
2021-07-14,670.9,678.6099,652.84,653.38,21618015,431858,665.671521
2021-07-15,658.37,666.14,637.88,650.6,20188731,431049,652.092656
2021-07-16,653.4,656.6999,642.2,644.22,16349545,333893,646.838409
2021-07-19,629.73,647.1999,621.29,646.22,21237473,480299,636.182512
2021-07-20,652.16,662.3916,640.501,660.5,15455447,339782,650.708928
2021-07-21,659.61,664.8599,650.2901,655.29,13969874,320011,657.305699
2021-07-22,656.11,662.17,644.6001,649.26,15098196,321863,652.253953
2021-07-23,646.25,648.8,637.3001,643.38,14595605,344204,642.700176
2021-07-26,650.13,668.1999,647.11,657.62,25329116,548082,659.489741
2021-07-27,663.38,666.5,627.24,644.78,32808014,739551,642.440096
2021-07-28,646.62,654.9699,639.4001,646.98,15989893,364135,647.077677
2021-07-29,649.36,683.69,648.8,677.35,30381771,636661,673.129523
2021-07-30,672.0,697.53,669.0,687.2,29636544,640594,686.950413
2021-08-02,700.0,726.94,698.4,709.67,33597842,817244,716.01172
2021-08-03,719.0,722.65,701.01,709.74,21596607,497878,710.3898
2021-08-04,711.0,724.9,708.93,710.92,16988152,408762,714.339009
2021-08-05,716.0,720.9499,711.41,714.63,12916096,324792,715.905145
2021-08-06,711.9,716.33,697.63,699.1,15626310,410726,703.712032
2021-08-09,710.19,719.03,705.13,713.76,14707359,339788,714.01805
2021-08-10,713.23,716.59,701.88,709.99,13426351,320977,709.101867
2021-08-11,712.71,715.18,704.21,707.82,9792668,256201,708.533767
2021-08-12,705.66,722.8,699.4,722.25,17699000,398893,714.337533
2021-08-13,723.86,729.9,714.34,717.17,16727853,360872,720.254838
2021-08-16,706.0,709.5,676.4,686.17,23087999,624688,687.409672
2021-08-17,672.59,674.58,648.84,665.71,23708898,619728,661.522171
2021-08-18,670.17,695.77,669.35,688.99,20330218,485034,687.231481
2021-08-19,678.21,686.55,667.59,673.47,14295797,343979,676.695089
