,open,high,low,close,volume,trade_count,vwap
2019-02-14,303.38,306.77,301.0,303.77,5200832,57500,304.046429
2019-02-15,304.5,308.0,303.9,307.88,3904947,43055,306.637084
2019-02-19,306.56,311.5442,305.47,305.64,4168443,46463,308.154213
2019-02-20,304.86,306.3,299.0,302.56,7142143,86381,302.358703
2019-02-21,302.0,303.2399,290.5,291.23,8913382,103731,296.262293
2019-02-22,294.49,296.5,292.1,294.71,5740558,68991,294.222595
2019-02-25,297.91,302.9044,297.0005,298.77,6626522,72643,299.17125
2019-02-26,292.25,302.01,288.7701,297.86,8582585,95818,296.432326
2019-02-27,301.34,316.295,300.55,314.74,11183924,117959,310.683281
2019-02-28,318.92,320.0,310.81,319.88,10520764,113132,316.352383
2019-03-01,306.75,307.13,291.9,294.79,22911750,263213,296.883052
2019-03-04,298.78,299.0,282.78,285.36,17099905,205012,287.579886
2019-03-05,282.0,284.0,270.1,276.54,18764740,221811,276.865522
2019-03-06,276.48,281.5058,274.39,276.24,10335485,106303,277.2393
2019-03-07,278.84,284.7,274.25,276.59,9442686,100223,279.418037
2019-03-08,276.28,285.59,275.89,284.14,8819725,90782,280.648571
2019-03-11,283.52,291.28,280.5,290.92,7392313,84667,287.305648
2019-03-12,286.35,288.07,281.06,283.36,7505337,79613,283.822771
2019-03-13,283.9,291.99,282.7,288.96,6844719,70251,287.92342
2019-03-14,292.45,295.39,288.29,289.96,7103781,76870,291.468765
2019-03-15,283.5,283.7244,274.4,275.43,14802531,160223,277.410037
2019-03-18,276.0,278.05,267.3,269.49,10287880,116072,270.886905
2019-03-19,267.5,273.3,263.46,267.47,11818030,114159,268.371685
2019-03-20,269.69,274.97,266.3,273.6,6913649,71033,270.313218
2019-03-21,272.6,276.45,268.45,274.02,5947098,63312,272.603023
2019-03-22,272.58,272.8,264.0,264.53,8745609,94417,267.21682
2019-03-25,260.0,263.18,254.46,260.42,10215115,105067,259.292932
2019-03-26,264.44,270.26,264.43,267.77,7351093,75671,267.529317
2019-03-27,268.77,275.37,268.1838,274.83,8779166,85399,271.993644
2019-03-28,277.16,280.33,275.1,278.62,6774113,68235,277.824481
2019-03-29,278.49,280.16,274.5,279.86,5997811,63668,278.138097
2019-04-01,282.62,289.2,281.281,289.18,8112463,85533,286.114817
2019-04-02,288.29,289.44,283.88,285.88,5478940,59790,286.287548
2019-04-03,287.32,296.17,287.17,291.81,7963607,85615,292.861068
2019-04-04,261.5,271.2,260.59,267.78,23730039,299200,266.781336
2019-04-05,269.99,276.1,266.11,274.96,13038457,132667,272.562534
2019-04-08,277.92,281.16,270.44,273.2,10410436,100256,275.085389
2019-04-09,271.65,275.0,269.61,272.3,5904051,56969,272.762259
2019-04-10,276.77,278.38,272.8925,276.06,7062386,67469,276.106686
2019-04-11,268.3,270.5,265.6,268.42,9839027,110279,267.83619
2019-04-12,269.99,271.95,266.83,267.7,6762761,67156,269.059168
2019-04-15,268.63,268.88,258.63,266.38,10039579,109071,262.882563
2019-04-16,265.75,275.0,264.72,273.36,7273280,80304,271.724838
2019-04-17,274.38,274.79,268.535,271.23,5126468,55079,271.784906
2019-04-18,271.23,274.84,269.75,273.26,5876395,54881,273.14185
2019-04-22,269.0,269.68,262.48,262.75,12147141,129726,264.390521
2019-04-23,260.0,265.6,255.75,263.9,10944019,109237,262.150141
2019-04-24,263.85,265.32,258.0,258.66,10737999,127499,260.918128
