,High,Low,Mid,Last,Bid,Ask,Volume
2021-09-14,47238.51708787,44699.0,47092.5,47092.0,47092.0,47093.0,3503.4421497
2021-09-15,48429.0,46724.0,48137.5,48136.0,48137.0,48138.0,3825.09531549
2021-09-16,48530.0,47061.0,47595.5,47595.0,47595.0,47596.0,3696.30785404
2021-09-17,48183.0,46771.0,47153.5,47153.0,47153.0,47154.0,2483.08723179
2021-09-18,48819.0,46931.0,47963.5,47963.62156768,47963.0,47964.0,2031.22873125
2021-09-19,48370.29414611,46837.0,47111.5,47126.0,47111.0,47112.0,2306.76852821
2021-09-20,47365.0,42567.0,43542.5,43515.0,43542.0,43543.0,12063.43249475
2021-09-21,43630.0,39678.0,40960.5,40945.0,40960.0,40961.0,14563.8855348
2021-09-22,44000.0,40222.0,43500.5,43494.0,43500.0,43501.0,8928.78944024
2021-09-23,44953.0,43102.0,44778.5,44782.0,44778.0,44779.0,5276.49570432
2021-09-24,45164.4867643,40755.0,42991.5,42982.33181548,42991.0,42992.0,11694.22678227
2021-09-25,43071.0,41728.0,42770.5,42771.0,42770.0,42771.0,3041.37515508
2021-09-26,43963.0,40800.0,43472.5,43476.0,43472.0,43473.0,5193.02451562
2021-09-27,44355.99143738,42620.0,43112.5,43111.0,43110.0,43115.0,4184.93641007
2021-09-28,43249.0,41158.0,41735.0,41730.0,41733.0,41737.0,5509.99106243
2021-09-29,42606.0,40804.0,41396.5,41400.84614868,41394.0,41399.0,5259.99427184
2021-09-30,44122.0,41189.0,43728.0,43729.0,43726.0,43730.0,5161.5741494
2021-10-01,48464.0,43311.0,47990.5,47991.0,47990.0,47991.0,8280.79611995
2021-10-02,48350.0,47438.0,48148.5,48147.0,48148.0,48149.0,1931.2801141
2021-10-03,49196.0,47120.0,48036.5,48039.0,48036.0,48037.0,3422.31484874
2021-10-04,49503.0,46897.0,48827.5,48828.0,48827.0,48828.0,6358.37024259
2021-10-05,51922.0,48909.0,51361.5,51362.0,51361.0,51362.0,6712.17746341
